,FB ID,Gene Symbol
318,FBgn0001565,Ddx56
319,FBgn0001612,Grip91
320,FBgn0001624,dlg1
321,FBgn0001941,ifc
322,FBgn0001942,eIF4A
323,FBgn0001961,Arpc1
324,FBgn0001965,Sos
325,FBgn0001967,NimC3
326,FBgn0001970,Pgant35A
327,FBgn0001977,CIAPIN1
328,FBgn0001978,stc
329,FBgn0001983,wor
330,FBgn0001986,Mtr4
331,FBgn0001987,Gli
332,FBgn0001989,ND-B17
333,FBgn0001990,wek
334,FBgn0001991,Ca-alpha1D
335,FBgn0001992,Cyp303a1
336,FBgn0001994,crp
337,FBgn0001995,mRpL4
338,FBgn0002021,l(2)37Bb
339,FBgn0002022,Catsup
340,FBgn0002023,Lim3
341,FBgn0002031,Phb1
342,FBgn0002036,CG10561
343,FBgn0002044,swm
344,FBgn0002069,AspRS
345,FBgn0002121,l(2)gl
346,FBgn0002174,CG5504
347,FBgn0002183,dre4
348,FBgn0002283,l(3)73Ah
349,FBgn0002284,Prosbeta6
350,FBgn0002306,sas
351,FBgn0002354,l(3)87Df
352,FBgn0002413,dco
353,FBgn0002431,hyd
354,FBgn0002440,l(3)mbn
355,FBgn0002441,l(3)mbt
356,FBgn0002466,sti
357,FBgn0002521,pho
358,FBgn0002522,lab
359,FBgn0002524,lace
360,FBgn0002525,Lam
361,FBgn0002526,LanA
362,FBgn0002531,Lcp1
363,FBgn0002533,Lcp2
364,FBgn0002534,Lcp3
365,FBgn0002535,Lcp4
366,FBgn0002542,lds
367,FBgn0002543,robo2
368,FBgn0002552,lin
369,FBgn0002562,Lsp1alpha
370,FBgn0002563,Lsp1beta
371,FBgn0002565,Lsp2
372,FBgn0002566,lt
373,FBgn0002567,Rab32
374,FBgn0002569,Mal-A2
375,FBgn0002570,Mal-A1
376,FBgn0002571,Mal-A3
377,FBgn0002573,sens
378,FBgn0002576,lz
379,FBgn0002577,m
380,FBgn0002578,Kaz-m1
381,FBgn0002579,RpL36
382,FBgn0002590,RpS5a
383,FBgn0002592,E(spl)m2-BFM
384,FBgn0002593,RpLP1
385,FBgn0002609,E(spl)m3-HLH
386,FBgn0002622,RpS3
387,FBgn0002626,RpL32
388,FBgn0002629,E(spl)m4-BFM
389,FBgn0002632,E(spl)m6-BFM
390,FBgn0002633,E(spl)m7-HLH
391,FBgn0002638,Rcc1
392,FBgn0002641,mal
393,FBgn0002643,mam
394,FBgn0002645,Map205
395,FBgn0002673,twe
396,FBgn0002707,mei-9
397,FBgn0002709,mei-218
398,FBgn0002715,mei-S332
399,FBgn0002716,mei-W68
400,FBgn0002719,Men
401,FBgn0002723,Met
402,FBgn0002732,E(spl)malpha-BFM
403,FBgn0002733,E(spl)mbeta-HLH
404,FBgn0002734,E(spl)mdelta-HLH
405,FBgn0002735,E(spl)mgamma-HLH
406,FBgn0002736,mago
407,FBgn0002772,Mlc1
408,FBgn0002773,Mlc2
409,FBgn0002774,mle
410,FBgn0002775,msl-3
411,FBgn0002778,mnd
412,FBgn0002780,mod
413,FBgn0002781,mod(mdg4)
414,FBgn0002783,mor
415,FBgn0002787,Rpn8
416,FBgn0002789,Mp20
417,FBgn0002791,mr
418,FBgn0002838,ms(3)K81
419,FBgn0002842,sa
420,FBgn0002862,Mst87F
421,FBgn0002865,Mst98Ca
422,FBgn0002868,MtnA
423,FBgn0002869,MtnB
424,FBgn0002872,mu2
425,FBgn0002873,mud
426,FBgn0002878,mus101
427,FBgn0002887,mus201
428,FBgn0002891,PolZ1
429,FBgn0002899,mus301
430,FBgn0002901,mus304
431,FBgn0002905,PolQ
432,FBgn0002906,Blm
433,FBgn0002909,mus312
434,FBgn0002914,Myb
435,FBgn0002917,na
436,FBgn0002921,Atpalpha
437,FBgn0002922,nau
438,FBgn0002924,ncd
439,FBgn0002926,ndl
440,FBgn0002930,nec
441,FBgn0002931,net
442,FBgn0002932,neur
443,FBgn0002936,ninaA
444,FBgn0002937,ninaB
445,FBgn0002938,ninaC
446,FBgn0002939,ninaD
447,FBgn0002940,ninaE
448,FBgn0002941,slou
449,FBgn0002945,nkd
450,FBgn0002948,nod
451,FBgn0002962,nanos
452,FBgn0002973,numb
453,FBgn0002985,odd
454,FBgn0002989,okr
455,FBgn0003002,opa
456,FBgn0003008,or
457,FBgn0003009,ord
458,FBgn0003011,ort
459,FBgn0003015,osk
460,FBgn0003016,osp
461,FBgn0003023,otu
462,FBgn0003028,ovo
463,FBgn0003041,pbl
464,FBgn0003042,Pc
465,FBgn0003044,Pcl
466,FBgn0003046,Pcp
467,FBgn0003048,pcx
468,FBgn0003053,peb
469,FBgn0003060,CG9757
470,FBgn0003062,Fib
